atom,epsilon,sigma
Ac,16.608,3.0985
Ag,18.1178,2.8045
Al,254.152,4.0082
Am,7.0458,3.0121
Ar,93.1052,3.446
As,155.5108,3.7685
At,142.929,4.2318
Au,19.6276,2.9337
B,90.5888,3.6375
Ba,183.1907,3.299
Be,42.7781,2.4455
Bi,260.6945,3.8932
Bk,6.5425,2.9747
Br,126.3211,3.732
C,52.8435,3.4309
Ca,119.7786,3.0282
Cd,114.7458,2.5373
Ce,6.5425,3.168
Cf,6.5425,2.9515
Cl,114.2426,3.5164
Cm,6.5425,2.9631
Co,7.0458,2.5587
Cr,7.5491,2.6932
Cs,22.6472,4.0242
Cu,2.5164,3.1137
Dy,3.5229,3.054
Er,3.5229,3.021
Es,6.0393,2.9391
Eu,4.0262,3.1119
F,25.1636,2.997
Fe,6.5425,2.5943
Fm,6.0393,2.9275
Fr,25.1636,4.3654
Ga,208.8576,3.9048
Gd,4.5294,3.0005
Ge,190.7398,3.813
H,22.1439,2.5711
He,28.1832,2.1043
Hf,36.2355,2.7983
Hg,193.7594,2.4099
Ho,3.5229,3.0371
I,170.609,4.009
In,301.4595,3.9761
Ir,36.7388,2.5302
K,17.6145,3.3961
Kr,110.7197,3.6892
La,8.5556,3.1377
Li,12.5818,2.1836
Lr,5.536,2.8829
Lu,20.6341,3.2429
Md,5.536,2.9168
Mg,55.8631,2.6914
Mn,6.5425,2.638
Mo,28.1832,2.719
N,34.7257,3.2607
Na,15.0981,2.6576
Nb,29.693,2.8197
Nd,5.0327,3.185
Ne,21.1374,2.8892
Ni,7.5491,2.5248
No,5.536,2.8936
Np,9.5622,3.0504
O,30.1963,3.1181
Os,18.621,2.7796
P,153.4977,3.6946
Pa,11.072,3.0504
Pb,333.6688,3.8282
Pd,24.157,2.5827
Pm,4.5294,3.16
Po,163.5632,4.1952
Pr,5.0327,3.2126
Pt,40.2617,2.4535
Pu,8.0523,3.0504
Ra,203.3216,3.2758
Rb,20.1309,3.6652
Re,33.2159,2.6317
Rh,26.6734,2.6094
Rn,124.8113,4.2451
Ru,28.1832,2.6397
S,137.8963,3.5948
Sb,225.9688,3.9378
Sc,9.5622,2.9355
Se,146.4519,3.7462
Si,202.315,3.8264
Sm,4.0262,3.136
Sn,285.3548,3.9128
Sr,118.2687,3.2438
Ta,40.765,2.8241
Tb,3.5229,3.0745
Tc,24.157,2.6709
Te,200.302,3.9823
Th,13.0851,3.0255
Ti,8.5556,2.8286
Tl,342.2245,3.8727
Tm,3.0196,3.0059
U,11.072,3.0246
V,8.0523,2.801
W,33.7192,2.7342
Xe,167.0861,3.9235
Y,36.2355,2.9801
Yb,114.7458,2.989
Zn,62.4056,2.4616
Zr,34.7257,2.7832
